time,aqi,pm25,pm10,o3,no2,so2,co,no,nh3,hour,day,month,aqi_lag1,aqi_change_rate
2025-05-15 15:00:00,3.0,18.37,80.53,51.57,0.12,0.44,86.02,0.0,0.0,15,15,5,,
2025-05-15 16:00:00,3.0,18.23,80.76,51.68,0.12,0.44,85.7,0.0,0.0,16,15,5,3.0,0.0
2025-05-15 17:00:00,3.0,18.2,80.87,51.79,0.12,0.44,85.47,0.0,0.0,17,15,5,3.0,0.0
2025-05-15 18:00:00,3.0,18.23,80.95,51.83,0.12,0.43,85.36,0.0,0.0,18,15,5,3.0,0.0
2025-05-15 19:00:00,3.0,18.24,80.58,51.65,0.12,0.43,84.96,0.0,0.0,19,15,5,3.0,0.0
2025-05-15 20:00:00,3.0,18.37,80.55,51.62,0.12,0.44,84.63,0.0,0.0,20,15,5,3.0,0.0
2025-05-15 21:00:00,3.0,18.67,81.01,51.64,0.12,0.45,84.42,0.0,0.0,21,15,5,3.0,0.0
2025-05-15 22:00:00,3.0,19.21,82.4,52.2,0.12,0.47,84.45,0.0,0.0,22,15,5,3.0,0.0
2025-05-15 23:00:00,3.0,19.98,84.7,53.17,0.12,0.5,84.62,0.0,0.0,23,15,5,3.0,0.0
2025-05-16 00:00:00,3.0,20.86,87.68,54.51,0.12,0.53,84.88,0.0,0.0,0,16,5,3.0,0.0
2025-05-16 01:00:00,3.0,21.89,91.13,56.18,0.12,0.55,85.51,0.0,0.0,1,16,5,3.0,0.0
2025-05-16 02:00:00,3.0,22.95,94.57,58.04,0.14,0.57,86.15,0.0,0.0,2,16,5,3.0,0.0
2025-05-16 03:00:00,3.0,23.93,97.12,59.75,0.13,0.58,86.88,0.01,0.0,3,16,5,3.0,0.0
2025-05-16 04:00:00,3.0,24.48,98.08,60.45,0.11,0.56,87.2,0.01,0.0,4,16,5,3.0,0.0
2025-05-16 05:00:00,3.0,24.8,98.17,60.5,0.09,0.54,87.49,0.01,0.0,5,16,5,3.0,0.0
2025-05-16 06:00:00,3.0,25.06,98.08,60.59,0.07,0.53,87.75,0.01,0.0,6,16,5,3.0,0.0
2025-05-16 07:00:00,3.0,25.11,97.53,60.5,0.07,0.51,88.13,0.01,0.0,7,16,5,3.0,0.0
2025-05-16 08:00:00,3.0,24.6,95.54,59.72,0.06,0.5,87.96,0.01,0.0,8,16,5,3.0,0.0
2025-05-16 09:00:00,3.0,23.52,92.05,58.08,0.06,0.48,87.5,0.01,0.0,9,16,5,3.0,0.0
2025-05-16 10:00:00,3.0,22.1,87.52,56.33,0.06,0.45,87.17,0.01,0.0,10,16,5,3.0,0.0
2025-05-16 11:00:00,3.0,20.31,81.62,54.02,0.06,0.43,86.39,0.01,0.0,11,16,5,3.0,0.0
2025-05-16 12:00:00,3.0,18.52,75.87,51.68,0.07,0.4,85.44,0.01,0.0,12,16,5,3.0,0.0
2025-05-16 13:00:00,3.0,17.11,71.48,49.96,0.08,0.39,84.86,0.01,0.0,13,16,5,3.0,0.0
2025-05-16 14:00:00,3.0,16.01,68.33,48.51,0.1,0.39,84.23,0.0,0.0,14,16,5,3.0,0.0
2025-05-16 15:00:00,3.0,15.24,66.35,47.42,0.11,0.38,83.68,0.0,0.0,15,16,5,3.0,0.0
2025-05-16 16:00:00,3.0,14.74,65.49,46.65,0.11,0.39,83.16,0.0,0.0,16,16,5,3.0,0.0
2025-05-16 17:00:00,3.0,14.52,65.78,46.3,0.11,0.39,82.99,0.0,0.0,17,16,5,3.0,0.0
2025-05-16 18:00:00,3.0,14.45,66.83,46.17,0.11,0.4,82.87,0.0,0.0,18,16,5,3.0,0.0
2025-05-16 19:00:00,3.0,14.43,68.39,46.22,0.11,0.41,82.61,0.0,0.0,19,16,5,3.0,0.0
2025-05-16 20:00:00,3.0,14.52,70.28,46.52,0.11,0.42,82.52,0.0,0.0,20,16,5,3.0,0.0
2025-05-16 21:00:00,3.0,14.69,72.04,46.95,0.11,0.42,82.29,0.0,0.0,21,16,5,3.0,0.0
2025-05-16 22:00:00,3.0,15.1,74.17,48.06,0.1,0.44,82.17,0.0,0.0,22,16,5,3.0,0.0
2025-05-16 23:00:00,3.0,15.55,76.16,49.02,0.1,0.45,82.16,0.0,0.0,23,16,5,3.0,0.0
2025-05-17 00:00:00,3.0,15.87,77.53,49.32,0.1,0.46,81.98,0.0,0.0,0,17,5,3.0,0.0
2025-05-17 01:00:00,3.0,16.19,79.25,49.85,0.1,0.46,81.94,0.0,0.0,1,17,5,3.0,0.0
2025-05-17 02:00:00,3.0,16.63,81.83,50.93,0.12,0.47,82.29,0.0,0.0,2,17,5,3.0,0.0
2025-05-17 03:00:00,3.0,17.01,84.12,51.8,0.12,0.48,82.47,0.01,0.0,3,17,5,3.0,0.0
2025-05-17 04:00:00,3.0,17.2,85.57,52.19,0.1,0.48,82.41,0.01,0.0,4,17,5,3.0,0.0
2025-05-17 05:00:00,3.0,17.03,85.1,51.2,0.08,0.47,82.17,0.01,0.0,5,17,5,3.0,0.0
2025-05-17 06:00:00,3.0,16.45,82.6,48.9,0.07,0.44,81.47,0.01,0.0,6,17,5,3.0,0.0
2025-05-17 07:00:00,3.0,15.69,78.88,46.41,0.06,0.4,81.02,0.01,0.0,7,17,5,3.0,0.0
2025-05-17 08:00:00,3.0,14.93,74.78,44.36,0.06,0.37,80.7,0.01,0.0,8,17,5,3.0,0.0
2025-05-17 09:00:00,3.0,14.3,70.96,42.93,0.05,0.35,80.53,0.01,0.0,9,17,5,3.0,0.0
2025-05-17 10:00:00,3.0,13.85,67.66,42.26,0.05,0.34,80.76,0.01,0.0,10,17,5,3.0,0.0
2025-05-17 11:00:00,3.0,13.5,64.9,42.04,0.05,0.33,80.72,0.01,0.0,11,17,5,3.0,0.0
2025-05-17 12:00:00,3.0,13.25,63.04,42.15,0.05,0.32,80.67,0.01,0.0,12,17,5,3.0,0.0
2025-05-17 13:00:00,3.0,13.14,62.33,42.62,0.06,0.32,80.7,0.01,0.0,13,17,5,3.0,0.0
2025-05-17 14:00:00,3.0,13.11,62.35,42.9,0.08,0.32,80.61,0.0,0.0,14,17,5,3.0,0.0
2025-05-17 15:00:00,3.0,13.11,62.84,42.92,0.09,0.32,80.34,0.0,0.0,15,17,5,3.0,0.0
2025-05-17 16:00:00,3.0,13.11,63.65,42.53,0.08,0.32,79.68,0.0,0.0,16,17,5,3.0,0.0
2025-05-17 17:00:00,3.0,13.11,64.75,42.02,0.08,0.33,79.17,0.0,0.0,17,17,5,3.0,0.0
2025-05-17 18:00:00,3.0,13.13,66.0,41.34,0.08,0.34,78.77,0.0,0.0,18,17,5,3.0,0.0
